dataset,datim_dataelement,shortname,code,dataelement,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid,Keycode,period,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,value
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200938,2022Q3,Manica,Manica,lT5Qs9ETV9s,HD Manica,KjMGcLd3XXd,Manica HD,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,338288,2022Q3,Manica,Manica,rfn0xX7liVL,CS 4Âº Congresso,DAcTRfO0CNG,4º Congresso CS,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200500,2022Q3,Manica,Gondola,JlUMz2rDy1g,CS Inchope,bifefa8JnfN,Inchope CS,3.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200937,2022Q3,Manica,Gondola,pELuhX7Rgup,CS Gondola Sede,awoAlwC06Go,Gondola Sede CS,5.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200527,2022Q3,Manica,Gondola,L7TkArEzSdW,CS Amatongas,e2cMNKCnHOw,Amatongas CS,2.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200502,2022Q3,Manica,Gondola,UzFYRpkVqN2,CS Muda SerraÃ§Ã£o,xfxtwRZ7Ejp,Muda Serração CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200531,2022Q3,Manica,Cidade de Chimoio,g9AT6oQ6Uoi,CS Nhamaonha,UBe2SLdSmxV,Nhamaonha CS,4.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,398330,2022Q3,Manica,Cidade de Chimoio,lR0tDnUzHdB,CS Vila Nova,KxEa3dXzAYv,Vila Nova CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200522,2022Q3,Manica,Cidade de Chimoio,aUtB6n9lhl4,CS Chissui,IJwB2CRmy7D,Chissui CS,2.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,201696,2022Q3,Manica,Cidade de Chimoio,SKLMPC7qDwD,CS 7 de Abril,DfdvXXyNSoV,7 de Abril CS,4.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200525,2022Q3,Manica,Cidade de Chimoio,nT0RSdagl3c,CS Eduardo Mondlane,rlAmYWNUTnR,Eduardo Mondlane CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200499,2022Q3,Manica,Cidade de Chimoio,ZPCgEihjMiy,CS 1 Âº de Maio,l7dBO27dhA6,1º Maio CS,6.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_35_39_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","35-39, Male",Sq9vathzQd9,Sq9vathzQd9,200517,2022Q3,Manica,Sussundenga,hzMMspjctBN,CS Sussundenga-Sede,RovRnV9RWFd,Sussundenga CS,
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200549,2022Q3,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,3.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200521,2022Q3,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200936,2022Q3,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,13.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200524,2022Q3,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200552,2022Q3,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,6.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200532,2022Q3,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200536,2022Q3,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,5.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200557,2022Q3,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200566,2022Q3,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,5.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200939,2022Q3,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,5.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200528,2022Q3,Manica,Manica,XUfVdKbiMwL,CS Messica,gVZ58EQOH6K,Messica CS,3.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200563,2022Q3,Manica,Manica,hPqiPGsEYv5,CS Machipanda,RiIZqF2hfqY,Machipanda CS,2.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200938,2022Q3,Manica,Manica,lT5Qs9ETV9s,HD Manica,KjMGcLd3XXd,Manica HD,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,338288,2022Q3,Manica,Manica,rfn0xX7liVL,CS 4Âº Congresso,DAcTRfO0CNG,4º Congresso CS,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200500,2022Q3,Manica,Gondola,JlUMz2rDy1g,CS Inchope,bifefa8JnfN,Inchope CS,8.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200937,2022Q3,Manica,Gondola,pELuhX7Rgup,CS Gondola Sede,awoAlwC06Go,Gondola Sede CS,3.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200527,2022Q3,Manica,Gondola,L7TkArEzSdW,CS Amatongas,e2cMNKCnHOw,Amatongas CS,3.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200502,2022Q3,Manica,Gondola,UzFYRpkVqN2,CS Muda SerraÃ§Ã£o,xfxtwRZ7Ejp,Muda Serração CS,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200531,2022Q3,Manica,Cidade de Chimoio,g9AT6oQ6Uoi,CS Nhamaonha,UBe2SLdSmxV,Nhamaonha CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,398330,2022Q3,Manica,Cidade de Chimoio,lR0tDnUzHdB,CS Vila Nova,KxEa3dXzAYv,Vila Nova CS,5.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200522,2022Q3,Manica,Cidade de Chimoio,aUtB6n9lhl4,CS Chissui,IJwB2CRmy7D,Chissui CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,201696,2022Q3,Manica,Cidade de Chimoio,SKLMPC7qDwD,CS 7 de Abril,DfdvXXyNSoV,7 de Abril CS,4.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200525,2022Q3,Manica,Cidade de Chimoio,nT0RSdagl3c,CS Eduardo Mondlane,rlAmYWNUTnR,Eduardo Mondlane CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200499,2022Q3,Manica,Cidade de Chimoio,ZPCgEihjMiy,CS 1 Âº de Maio,l7dBO27dhA6,1º Maio CS,9.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_FEMININO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Female",Ij7k6DBjI3i,Ij7k6DBjI3i,200517,2022Q3,Manica,Sussundenga,hzMMspjctBN,CS Sussundenga-Sede,RovRnV9RWFd,Sussundenga CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200549,2022Q3,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,2.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200521,2022Q3,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200936,2022Q3,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,15.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200524,2022Q3,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,2.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200552,2022Q3,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,2.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200532,2022Q3,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200536,2022Q3,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200557,2022Q3,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200566,2022Q3,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200939,2022Q3,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,7.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200528,2022Q3,Manica,Manica,XUfVdKbiMwL,CS Messica,gVZ58EQOH6K,Messica CS,3.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200563,2022Q3,Manica,Manica,hPqiPGsEYv5,CS Machipanda,RiIZqF2hfqY,Machipanda CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200938,2022Q3,Manica,Manica,lT5Qs9ETV9s,HD Manica,KjMGcLd3XXd,Manica HD,3.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,338288,2022Q3,Manica,Manica,rfn0xX7liVL,CS 4Âº Congresso,DAcTRfO0CNG,4º Congresso CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200500,2022Q3,Manica,Gondola,JlUMz2rDy1g,CS Inchope,bifefa8JnfN,Inchope CS,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200937,2022Q3,Manica,Gondola,pELuhX7Rgup,CS Gondola Sede,awoAlwC06Go,Gondola Sede CS,3.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200527,2022Q3,Manica,Gondola,L7TkArEzSdW,CS Amatongas,e2cMNKCnHOw,Amatongas CS,1.0
MER Results: Facility Based,"PrEP_CT (N, DSD, Age/Sex): Receiving PrEP","PrEP_CT (N, DSD, Age/Sex)",PrEP_CT_N_DSD_Age_Sex,ECHO_PREP_CT_40_44_MASCULINO,ectUGvYjtaK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period","40-44, Male",f6m1joVHJgj,f6m1joVHJgj,200502,2022Q3,Manica,Gondola,UzFYRpkVqN2,CS Muda SerraÃ§Ã£o,xfxtwRZ7Ejp,Muda Serração CS,0.0
