Keycode,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,period,"echo_TX_CURR_N_Age_Sex_HIVStatus | <1, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 1-4, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 5-9, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 10-14, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 15-19, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 20-24, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 25-29, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 30-34, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 35-39, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 40-44, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 45-49, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50+, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50-54, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 55-59, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 60-64, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 65+, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | <1, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 1-4, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 5-9, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 10-14, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 15-19, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 20-24, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 25-29, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 30-34, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 35-39, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 40-44, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 45-49, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50+, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50-54, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 55-59, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 60-64, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 65+, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | FSW, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | MSM, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | PWID, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - 6 or more months, Positive"
200954,Niassa,Cidade de Lichinga,VKP8A0OwApk,HP Lichinga,SfB5NwJXaot,Lichinga HP,2023Q1,2,15,15,26,24,23,27,62,80,92,78,,75,60,42,20,0,1,14,8,21,37,45,76,107,147,137,101,,86,41,31,23,0,0,0,1,0,106,74,23,20,0,0,725,509,21,38,0,0,0,0,0,0,0,0
200152,Niassa,Cidade de Lichinga,jHlNl7FzWw1,CS Chiuaula,AEZgWxwdbd9,Chiuaula PS,2023Q1,2,24,29,32,15,45,87,145,185,147,87,,71,39,24,12,0,2,30,35,30,61,238,387,472,346,224,109,,93,52,15,24,0,132,21,0,0,360,144,40,31,0,0,1076,371,47,48,0,0,580,340,10,8,0,0
200155,Niassa,Cidade de Lichinga,kTLJHJShXJC,CS Lichinga,BRlA0HkkMGM,Lichinga CS,2023Q1,2,32,31,46,37,37,91,199,263,230,157,,102,74,53,30,0,1,26,45,52,65,201,409,574,476,349,252,,144,101,53,42,0,131,9,0,54,582,209,43,38,0,0,978,481,66,61,0,0,1100,582,15,12,0,0
200941,Sofala,Marromeu,zQrQsbs6EHX,HR Marromeu,RxHTSbz8VN5,Marromeu HR,2023Q1,8,78,83,38,29,111,275,461,378,335,250,,168,102,63,50,0,4,101,88,54,89,732,1171,1000,612,444,273,,190,73,59,45,0,82,23,3,2,762,176,46,42,0,0,2793,1492,192,162,0,0,1131,553,9,3,0,0
200599,Sofala,Marromeu,olAdg7i0qDZ,CS Nensa,euFWewBZ5Xr,Nensa CS,2023Q1,0,12,8,3,2,21,50,59,56,37,38,,26,10,10,9,0,2,10,4,2,14,102,145,111,87,65,48,,19,4,4,3,0,0,0,0,0,158,32,4,7,0,0,442,285,14,16,0,0,0,0,0,0,0,0
200173,Niassa,Mecanhelas,yLGuFP6jHk4,CS Chisaua,v4ZYs2QjOQO,Chissaua CS,2023Q1,0,8,13,8,8,16,41,52,35,39,22,,25,16,9,5,0,0,3,7,5,9,70,116,125,65,54,24,,16,12,3,3,0,13,0,0,0,156,17,4,8,0,0,341,250,11,21,0,0,0,0,0,0,0,0
200163,Niassa,Mecanhelas,TJhnk83hQLW,CS Mecanhelas,wtV2TtEPCCZ,Mecanhelas CS,2023Q1,1,8,27,38,23,46,97,178,165,124,61,,49,28,17,20,0,0,12,35,34,40,186,360,343,253,154,84,,53,32,8,14,0,1,1,0,11,442,159,21,34,0,0,1084,649,60,40,0,0,0,0,0,0,0,0
200165,Niassa,Mecanhelas,yDYqmDwiMUu,CS Entre-Lagos,aoJNeHN9JFY,Entre-Lagos CS,2023Q1,0,12,14,33,16,15,43,58,62,66,43,,33,19,11,4,0,0,8,23,35,19,84,122,133,129,74,38,,35,10,5,5,0,0,0,0,0,183,31,10,14,0,0,464,338,56,45,0,0,0,0,0,0,0,0
200190,Niassa,Lago,pGcM8SNZ1uD,CS Metangula,DhPZWGceA1Q,Metangula CS,2023Q1,1,9,19,16,13,13,35,60,89,65,50,,37,16,19,9,0,1,10,20,31,17,89,154,206,177,92,59,,32,29,13,16,0,19,1,0,0,193,49,22,7,0,0,689,357,40,38,0,0,0,0,0,0,0,0
200154,Niassa,Mandimba,mEd88tafLmT,CS Mitande,SufFhnSEIKA,Mitande CS,2023Q1,0,13,19,3,3,16,48,57,47,40,25,,13,12,10,4,0,1,10,11,7,19,114,138,128,108,66,36,,24,12,6,8,0,0,0,0,0,225,50,6,5,0,0,431,225,23,30,0,0,0,0,0,0,0,0
200180,Niassa,Mandimba,KqIfEtf5mj8,CS Mandimba,GDCM1IWa7Zh,Mandimba CS,2023Q1,2,24,31,32,24,53,102,131,162,142,92,,77,44,18,20,0,0,33,37,28,79,287,435,446,295,181,122,,70,57,20,21,0,116,2,0,9,502,133,18,15,0,0,929,467,76,67,0,0,578,265,4,7,0,0
200195,Niassa,Ngauma,i9cfzJGXjve,CS Massangulo,KujnNfVcY2N,Massangulo CS,2023Q1,1,9,4,6,8,17,28,59,69,74,41,,36,19,9,16,0,0,10,14,8,15,65,107,138,104,72,45,,26,12,9,9,0,0,0,0,0,226,77,12,5,0,0,375,299,20,15,0,0,0,0,0,0,0,0
200191,Niassa,Metarica,uLXgeGEYPsn,CS Metarica,dQk8ubXxXLX,Metarica CS,2023Q1,4,2,12,8,4,14,23,45,43,43,25,,25,13,6,9,0,9,14,13,8,11,76,95,106,74,49,44,,23,6,12,10,0,1,0,0,0,128,28,40,22,0,0,378,221,4,4,0,0,0,0,0,0,0,0
200625,Sofala,Buzi,BDXebOcXCzA,CS Bura,d9VvJxm3TX0,Bura CS,2023Q1,0,9,11,13,3,13,49,60,53,51,49,,28,25,16,20,0,2,5,15,16,11,64,143,177,127,93,71,,43,27,13,11,0,0,0,0,0,253,68,24,21,0,0,527,299,14,12,0,0,0,0,0,0,0,0
200576,Sofala,Buzi,A6UC3jvbYGo,CS Guara-Guara,EQs1z4T6WiJ,Guara-Guara PS,2023Q1,1,9,22,18,12,26,69,119,86,83,63,,40,31,18,18,0,1,10,25,27,31,126,237,273,157,125,99,,76,36,36,31,0,0,0,0,0,249,33,10,7,0,0,978,532,53,43,0,0,0,0,0,0,0,0
200605,Sofala,Buzi,barctDO0AlZ,CS Ampara,VqeMGiX9sMV,Ampara PS,2023Q1,0,7,16,5,4,10,47,68,44,44,31,,12,11,5,5,0,0,6,15,8,16,64,105,114,78,77,29,,31,8,12,7,0,0,0,0,0,160,24,0,3,0,0,381,257,29,25,0,0,0,0,0,0,0,0
200574,Sofala,Buzi,enNmUo4i8I7,CS Bandua,XvVmyn071HT,Bandua CS,2023Q1,0,15,25,21,15,13,53,101,113,100,82,,61,32,24,13,0,3,19,30,33,26,146,283,333,258,175,103,,58,38,21,12,0,6,0,1,0,210,78,24,17,0,0,1241,529,61,44,0,0,0,0,0,0,0,0
200940,Sofala,Buzi,a4N0oupiD9t,HR Buzi Sede,QCY2lUMpt7f,Buzi Sede HR,2023Q1,1,9,23,17,20,18,68,130,144,140,97,,60,38,43,29,0,0,10,13,26,30,88,191,252,196,169,105,,95,50,23,30,0,6,0,0,0,178,37,5,6,0,0,1050,750,44,44,0,0,0,0,0,0,0,0
200638,Sofala,Machanga,OovZT6YXvH2,CS Machanga ,T6VbSgxjG4o,Machanga CS,2023Q1,0,14,21,21,14,17,24,68,85,92,54,,39,30,26,13,0,1,12,24,29,34,79,163,198,186,164,110,,63,35,16,8,1,0,0,0,0,385,185,55,48,1,0,664,276,11,8,0,0,0,0,0,0,0,0
99999,Manica,Chimoio,kuc35LlO53Y,CS Penitenciário Cabeça do Velho,a1KCMV2VRpC,Penitenciário Cabeça do Velho CS,2023Q1,0,0,0,0,1,10,54,80,106,62,28,,16,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,277,0,161,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0
66666,Sofala,Beira,VnnwcG90OEt,CS Inhamizua,wmXdfKNX0qT,Inhamizua CS,2023Q1,3,11,18,22,6,34,90,131,133,101,59,,28,22,13,12,0,2,32,31,9,45,206,303,290,183,105,66,,49,31,23,14,0,0,0,0,0,569,205,49,35,0,0,746,424,25,19,0,0,0,0,0,0,0,0
